"";"rowSums(otu_export.fam)"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Muribaculaceae__ASV1";"6.92392942424713"
"Bacteria__Firmicutes__Clostridia__Lachnospirales__Lachnospiraceae__ASV2";"9.33570067081535"
"Bacteria__Verrucomicrobiota__Verrucomicrobiae__Verrucomicrobiales__Akkermansiaceae__ASV3";"1.44910558001906"
"Bacteria__Firmicutes__Bacilli__Lactobacillales__Lactobacillaceae__ASV5";"2.16154328936738"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__Ruminococcaceae__ASV10";"2.31095636022632"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__Oscillospiraceae__ASV12";"2.38163119665911"
"Bacteria__Firmicutes__Bacilli__Erysipelotrichales__Erysipelotrichaceae__ASV13";"0.474340822758045"
"Bacteria__Actinobacteriota__Actinobacteria__Bifidobacteriales__Bifidobacteriaceae__ASV16";"0.412494502203102"
"Bacteria__Firmicutes__Clostridia__Peptostreptococcales-Tissierellales__Peptostreptococcaceae__ASV24";"0.44821534714264"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Rikenellaceae__ASV26";"0.879688802191105"
"Bacteria__Firmicutes__Bacilli__Staphylococcales__Staphylococcaceae__ASV28";"0.397742385055887"
"Bacteria__Firmicutes__Clostridia__Clostridia UCG-014__NA__ASV31";"2.09388345922425"
"Bacteria__Firmicutes__Clostridia__Clostridiales__Clostridiaceae__ASV35";"0.203349824270726"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__[Eubacterium] coprostanoligenes group__ASV49";"0.445198878654555"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Bacteroidaceae__ASV53";"0.413106819876209"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Marinifilaceae__ASV59";"0.132021003600666"
"Bacteria__Firmicutes__Bacilli__RF39__NA__ASV63";"0.375616394634319"
"Bacteria__Firmicutes__Bacilli__Lactobacillales__Streptococcaceae__ASV70";"0.0853332706065754"
"Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Micrococcaceae__ASV79";"0.0575781212361057"
"Bacteria__Firmicutes__Clostridia__Monoglobales__Monoglobaceae__ASV92";"0.16205605402383"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Prevotellaceae__ASV104";"0.0761436133668306"
"Bacteria__Firmicutes__Bacilli__Lactobacillales__Aerococcaceae__ASV107";"0.0240759077327931"
"Bacteria__Deferribacterota__Deferribacteres__Deferribacterales__Deferribacteraceae__ASV129";"0.0518283818464372"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Tannerellaceae__ASV157";"0.0573486809533082"
"Bacteria__Actinobacteriota__Coriobacteriia__Coriobacteriales__Eggerthellaceae__ASV162";"0.133350746186892"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__UCG-010__ASV163";"0.0727580084706548"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__Butyricicoccaceae__ASV167";"0.0355219162662994"
"Bacteria__Proteobacteria__Gammaproteobacteria__Burkholderiales__Sutterellaceae__ASV200";"0.0296830534128569"
"Bacteria__Desulfobacterota__Desulfovibrionia__Desulfovibrionales__Desulfovibrionaceae__ASV226";"0.0374187132584666"
"Bacteria__Actinobacteriota__Actinobacteria__Corynebacteriales__Corynebacteriaceae__ASV231";"0.0402128246919263"
"Bacteria__Firmicutes__Bacilli__Erysipelotrichales__Erysipelatoclostridiaceae__ASV242";"0.0533305468691421"
"Bacteria__Firmicutes__Negativicutes__Acidaminococcales__Acidaminococcaceae__ASV247";"0.0121573695889572"
"Bacteria__Bacteroidota__Bacteroidia__Bacteroidales__Barnesiellaceae__ASV259";"0.0112275572160032"
"Bacteria__Proteobacteria__Alphaproteobacteria__Rhodospirillales__NA__ASV286";"0.013722483960162"
"Bacteria__Actinobacteriota__Coriobacteriia__Coriobacteriales__NA__ASV316";"0.00844613658028175"
"Bacteria__Firmicutes__Clostridia__Lachnospirales__Defluviitaleaceae__ASV324";"0.00955602320761407"
"Bacteria__Cyanobacteria__Vampirivibrionia__Gastranaerophilales__NA__ASV326";"0.0183644827223981"
"Bacteria__Firmicutes__Clostridia__NA__NA__ASV328";"0.0154329971903966"
"Bacteria__Firmicutes__Clostridia__Peptostreptococcales-Tissierellales__Anaerovoracaceae__ASV332";"0.025370424822927"
"Bacteria__Firmicutes__Clostridia__Clostridia vadinBB60 group__NA__ASV335";"0.053923296087344"
"Bacteria__Firmicutes__Clostridia__Christensenellales__Christensenellaceae__ASV361";"0.0236611886582555"
"Bacteria__Firmicutes__Clostridia__Peptococcales__Peptococcaceae__ASV388";"0.0266905537807849"
"Bacteria__Patescibacteria__Saccharimonadia__Saccharimonadales__Saccharimonadaceae__ASV468";"0.00221434040146699"
"Bacteria__Proteobacteria__Gammaproteobacteria__Enterobacterales__Enterobacteriaceae__ASV509";"0.00364313058290846"
"Bacteria__Firmicutes__Bacilli__Lactobacillales__Enterococcaceae__ASV512";"0.00344153224765679"
"Bacteria__Firmicutes__Clostridia__Peptostreptococcales-Tissierellales__NA__ASV577";"0.00217907221337008"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__[Clostridium] methylpentosum group__ASV662";"0.00181011148056191"
"Bacteria__Firmicutes__Clostridia__Eubacteriales__Anaerofustaceae__ASV665";"0.00164790396239964"
"Bacteria__Firmicutes__NA__NA__NA__ASV706";"0.00132887936171635"
"Bacteria__Actinobacteriota__Coriobacteriia__Coriobacteriales__Coriobacteriales Incertae Sedis__ASV797";"0.00106386881906922"
"Bacteria__Proteobacteria__Gammaproteobacteria__Burkholderiales__Oxalobacteraceae__ASV808";"0.00109010093278231"
"Bacteria__Firmicutes__Clostridia__Oscillospirales__Hungateiclostridiaceae__ASV812";"0.000888701882301157"
"Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Brevibacteriaceae__ASV871";"0.000839099927812911"
"Bacteria__Firmicutes__Clostridia__Caldicoprobacterales__Caldicoprobacteraceae__ASV911";"0.000758771233768922"
"Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Dermabacteraceae__ASV925";"0.00070337813793772"
"Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__ASV949";"0.00080364181259343"
"Bacteria__Actinobacteriota__Coriobacteriia__Coriobacteriales__Atopobiaceae__ASV1016";"0.000645340209149647"
"Bacteria__Firmicutes__Bacilli__Bacillales__Planococcaceae__ASV1042";"0.000478105286958498"
