"";"variable";"parametric";"test";"p_value";"statistic"
"1";"Ambulatory_Counts";"FALSE";"Wilcoxon test";"1";"4"
"2";"Ammonia";"FALSE";"Wilcoxon test";"0.662520583540057";"6"
"3";"Average_velocity";"TRUE";"Welch's t test";"0.512229357646782";"0.780046515640232"
"4";"CCL2";"TRUE";"Welch's t test";"0.404898019385082";"-0.898725076268947"
"5";"CCL20";"FALSE";"Wilcoxon test";"0.885233914473202";"9"
"6";"CCL5";"TRUE";"Welch's t test";"0.927449425018002";"0.106864396265138"
"7";"CCR2";"TRUE";"Welch's t test";"0.389964802754659";"-0.956114208546209"
"8";"CCR5";"TRUE";"Welch's t test";"0.468893148973665";"0.774706339534221"
"9";"CX3CL1";"TRUE";"Welch's t test";"0.192090104116664";"-1.47142955059982"
"10";"CX3CR1";"TRUE";"Welch's t test";"0.612376154170075";"-0.535177779243172"
"11";"GABAa1";"FALSE";"Wilcoxon test";"1";"2"
"12";"GAT1";"TRUE";"Welch's t test";"0.69811398852754";"-0.406806199231003"
"13";"GAT3";"FALSE";"Wilcoxon test";"1";"4"
"14";"GLAST";"FALSE";"Wilcoxon test";"0.665005542102029";"10"
"15";"GLT1";"TRUE";"Welch's t test";"0.525639812901777";"0.674920691204916"
"16";"GLUA1";"TRUE";"Welch's t test";"0.731705296237592";"0.356153980815403"
"17";"GLUA2";"TRUE";"Welch's t test";"0.914214056120114";"-0.111230848064605"
"18";"IFN_gamma";"TRUE";"Welch's t test";"0.898365096378895";"0.133305596096088"
"19";"IL_10";"TRUE";"Welch's t test";"0.474786483444076";"0.764246640358935"
"20";"IL_15";"TRUE";"Welch's t test";"0.426509597046024";"0.856460797038257"
"21";"IL_17";"TRUE";"Welch's t test";"0.685330791022914";"-0.436460916196891"
"22";"IL_4";"TRUE";"Welch's t test";"0.283635620981116";"1.19900332175629"
"23";"IL_6";"TRUE";"Welch's t test";"0.621852493384038";"0.52421403017151"
"24";"IL1_b";"FALSE";"Wilcoxon test";"1";"2"
"25";"Learning_index_Rmaze";"TRUE";"Welch's t test";"0.0839278942456151";"1.99811231671012"
"26";"NR1";"FALSE";"Wilcoxon test";"0.834531622710929";"11"
"27";"NR2A";"TRUE";"Welch's t test";"0.0704766164387791";"2.20613800086456"
"28";"NR2B";"TRUE";"Welch's t test";"0.500217287186935";"0.710628170285559"
"29";"Occludine";"TRUE";"Welch's t test";"0.0926319203242186";"-2.12756590863763"
"30";"OLM";"TRUE";"Welch's t test";"0.0126378764277918";"-3.20334522535087"
"31";"SCFA_AA";"FALSE";"Wilcoxon test";"0.114916446396413";"16.5"
"32";"SCFA_BA";"TRUE";"Welch's t test";"0.27250349933159";"-1.14324049779913"
"33";"SCFA_CA";"TRUE";"Welch's t test";"0.0617052521812257";"-2.04191301186022"
"34";"SCFA_PA";"FALSE";"Wilcoxon test";"0.400467549571982";"23.5"
"35";"SCFA_VA";"TRUE";"Welch's t test";"0.569234203873056";"0.585085647242168"
"36";"Stereotipic_Counts";"TRUE";"Welch's t test";"0.147120893077983";"2.04646484136726"
"37";"TGF_b";"FALSE";"Wilcoxon test";"0.193930852282411";"13"
"38";"TNF_a";"TRUE";"Welch's t test";"0.687545707192951";"0.422368230837371"
"39";"TNFR1";"FALSE";"Wilcoxon test";"0.0606019697120061";"1"
"40";"Vertcal_Counts";"TRUE";"Welch's t test";"0.0942283968711906";"2.28661459060041"
"41";"Ymaze_trialstolearn";"TRUE";"Welch's t test";"0.45765428767281";"-0.894427190999916"
"42";"analysisSummary_A_noccl_ok";"";"";"";""
