"";"variable";"parametric";"test";"p_value";"statistic"
"1";"Ambulatory_Counts";"FALSE";"Wilcoxon test";"0.315302452081746";"21"
"2";"Ammonia";"FALSE";"Wilcoxon test";"0.0655521611655026";"30"
"3";"Average_velocity";"TRUE";"Welch's t test";"0.903331948962197";"-0.125096324792767"
"4";"CCL2";"TRUE";"Welch's t test";"0.424329853949396";"-0.837605261047994"
"5";"CCL20";"FALSE";"Wilcoxon test";"0.0238684421645744";"6"
"6";"CCL5";"TRUE";"Welch's t test";"0.191906074229476";"-2.06952857577016"
"7";"CCR2";"TRUE";"Welch's t test";"0.929675242615922";"0.0901248902659388"
"8";"CCR5";"TRUE";"Welch's t test";"0.842805612543688";"0.203303386049213"
"9";"CX3CL1";"TRUE";"Welch's t test";"0.453002147800972";"-0.780904960043217"
"10";"CX3CR1";"TRUE";"Welch's t test";"0.311163017868987";"-1.06980909335871"
"11";"GABAa1";"FALSE";"Wilcoxon test";"0.663117245320382";"6"
"12";"GABAa5";"TRUE";"Welch's t test";"0.663783141347331";"0.487700054245107"
"13";"GAT1";"TRUE";"Welch's t test";"0.607911319572694";"-0.525758120180006"
"14";"GAT3";"FALSE";"Wilcoxon test";"1";"18"
"15";"GLAST";"FALSE";"Wilcoxon test";"0.224313126511154";"17"
"16";"GLT1";"TRUE";"Welch's t test";"0.549125041711751";"-0.613916993180114"
"17";"GLUA1";"TRUE";"Welch's t test";"0.843992572551044";"0.200010732749556"
"18";"GLUA2";"TRUE";"Welch's t test";"0.892326809627606";"-0.138295170483173"
"19";"IFN_gamma";"TRUE";"Welch's t test";"0.838956593885986";"0.209641558568292"
"20";"IL_10";"TRUE";"Welch's t test";"0.129232308795008";"-1.6539563802487"
"21";"IL_15";"TRUE";"Welch's t test";"0.314228195295702";"-1.05545429443311"
"22";"IL_17";"TRUE";"Welch's t test";"0.509303399532333";"-0.681663015135655"
"23";"IL_4";"TRUE";"Welch's t test";"0.344376834011068";"-0.985425692981711"
"24";"IL_6";"TRUE";"Welch's t test";"0.692341342067695";"-0.40718779785409"
"25";"IL1_b";"FALSE";"Wilcoxon test";"0.665005542102029";"10"
"26";"Learning_index_Rmaze";"TRUE";"Welch's t test";"0.736392911248399";"0.342005130115428"
"27";"NR1";"FALSE";"Wilcoxon test";"0.283571001936129";"27.5"
"28";"NR2A";"TRUE";"Welch's t test";"0.994084193786682";"-0.00753970472009609"
"29";"NR2B";"TRUE";"Welch's t test";"0.601061094553288";"-0.533447208941481"
"30";"Occludine";"TRUE";"Welch's t test";"0.613438289760321";"-0.518833835056912"
"31";"OLM";"TRUE";"Welch's t test";"0.0518326303600002";"-2.08862383870133"
"32";"SCFA_AA";"FALSE";"Wilcoxon test";"0.441809772050332";"93"
"33";"SCFA_BA";"TRUE";"Welch's t test";"0.405834568730126";"-0.844051546942767"
"34";"SCFA_CA";"TRUE";"Welch's t test";"0.680659720191459";"0.416007142297394"
"35";"SCFA_PA";"FALSE";"Wilcoxon test";"0.692804457255859";"102"
"36";"SCFA_VA";"TRUE";"Welch's t test";"0.357341326921137";"0.936647903681864"
"37";"Stereotipic_Counts";"TRUE";"Welch's t test";"0.713099570789648";"-0.381066611702216"
"38";"TGF_b";"FALSE";"Wilcoxon test";"0.272490483469952";"15"
"39";"TNF_a";"TRUE";"Welch's t test";"0.41168966273633";"-0.856940402739913"
"40";"TNFR1";"FALSE";"Wilcoxon test";"0.602200005925497";"23"
"41";"Vertcal_Counts";"TRUE";"Welch's t test";"0.488619819060083";"-0.723139495384759"
"42";"Ymaze_trialstolearn";"TRUE";"Welch's t test";"0.71059352058886";"0.386333704643128"
"43";"comparisons_antibiotic";"";"";"";""
