"";"variable";"parametric";"test";"p_value";"statistic"
"1";"Ambulatory_Counts";"FALSE";"Wilcoxon test";"0.772829992684448";"4"
"2";"Ammonia";"FALSE";"Wilcoxon test";"0.190430263825524";"8"
"3";"Average_velocity";"TRUE";"Welch's t test";"0.829606646812231";"0.237302972708224"
"4";"CCL2";"TRUE";"Welch's t test";"0.60037021788991";"-0.581007697446857"
"5";"CCL20";"FALSE";"Wilcoxon test";"0.0518299272179097";"0"
"6";"CCR2";"TRUE";"Welch's t test";"0.306177674921074";"1.1707988959908"
"7";"CCR5";"TRUE";"Welch's t test";"0.585338643770905";"-0.604211186541493"
"8";"CX3CL1";"TRUE";"Welch's t test";"0.712479580144555";"0.399740532716314"
"9";"CX3CR1";"TRUE";"Welch's t test";"0.996680070201739";"0.00439793117202271"
"10";"GABAa1";"FALSE";"Wilcoxon test";"0.220671361919847";"0"
"11";"GABAa5";"TRUE";"Welch's t test";"0.224641350545755";"2.71532846715328"
"12";"GAT1";"TRUE";"Welch's t test";"0.510195336684289";"-0.722092498529738"
"13";"GAT3";"FALSE";"Wilcoxon test";"0.642834826490804";"6"
"14";"GLAST";"FALSE";"Wilcoxon test";"0.21592493894014";"2"
"15";"GLT1";"TRUE";"Welch's t test";"0.450014126315242";"-0.866257838421352"
"16";"GLUA1";"TRUE";"Welch's t test";"0.760016311898872";"0.327068378926266"
"17";"GLUA2";"TRUE";"Welch's t test";"0.916677755194938";"0.111383276774531"
"18";"IFN_gamma";"TRUE";"Welch's t test";"0.695593195104842";"0.416113630375703"
"19";"IL_10";"TRUE";"Welch's t test";"0.354067528290222";"-1.09186168066049"
"20";"IL_15";"TRUE";"Welch's t test";"0.344332422037549";"-1.04395371305658"
"21";"IL_17";"TRUE";"Welch's t test";"0.989348275154092";"0.0140442604771642"
"22";"IL_4";"TRUE";"Welch's t test";"0.224629306240614";"-1.38629898548399"
"23";"IL_6";"TRUE";"Welch's t test";"0.491231551752348";"-0.780361263746372"
"24";"IL1_b";"FALSE";"Wilcoxon test";"0.245278116806773";"4"
"25";"Learning_index_Rmaze";"TRUE";"Welch's t test";"0.647798330284161";"-0.476393067340331"
"26";"NR1";"FALSE";"Wilcoxon test";"0.0150784984356425";"0"
"27";"NR2A";"TRUE";"Welch's t test";"0.0537348853478051";"-2.70643897827044"
"28";"NR2B";"TRUE";"Welch's t test";"0.120347606062206";"-1.96870724536752"
"29";"Occludine";"TRUE";"Welch's t test";"0.304400181997491";"1.15046790120934"
"30";"OLM";"TRUE";"Welch's t test";"0.851212703249434";"-0.196540863714161"
"31";"SCFA_AA";"FALSE";"Wilcoxon test";"0.792895503178961";"35"
"32";"SCFA_BA";"TRUE";"Welch's t test";"0.786475177997065";"-0.276163387277002"
"33";"SCFA_CA";"TRUE";"Welch's t test";"0.553381169959157";"0.607594899106843"
"34";"SCFA_PA";"FALSE";"Wilcoxon test";"0.752537727499457";"35.5"
"35";"SCFA_VA";"TRUE";"Welch's t test";"0.9829293232229";"0.0217824137843371"
"36";"Stereotipic_Counts";"TRUE";"Welch's t test";"0.848189996746601";"-0.213607247860199"
"37";"TGF_b";"FALSE";"Wilcoxon test";"0.21592493894014";"2"
"38";"TNF_a";"TRUE";"Welch's t test";"0.858778496503635";"-0.192526948582685"
"39";"TNFR1";"FALSE";"Wilcoxon test";"0.663117245320382";"6"
"40";"Vertcal_Counts";"TRUE";"Welch's t test";"0.690125248728853";"-0.464782822840458"
"41";"Ymaze_trialstolearn";"TRUE";"Welch's t test";"0.899839940739911";"-0.134839972492648"
"42";"comparisons_Treatment_norif";"";"";"";""
