"";"variable";"parametric";"test";"p_value";"statistic"
"1";"Ambulatory_Counts";"FALSE";"Wilcoxon test";"0.784191229401619";"17"
"2";"Ammonia";"FALSE";"Wilcoxon test";"0.378477593244679";"24"
"3";"Average_velocity";"TRUE";"Welch's t test";"0.184343497546287";"1.52742381933157"
"4";"CCL2";"TRUE";"Welch's t test";"0.312744884097835";"-1.05413008916204"
"5";"CCL20";"FALSE";"Wilcoxon test";"0.159864197547973";"36"
"6";"CCL5";"TRUE";"Welch's t test";"0.631058441585808";"0.522046777367122"
"7";"CCR2";"TRUE";"Welch's t test";"0.982123134489649";"-0.0229462788631022"
"8";"CCR5";"TRUE";"Welch's t test";"0.578492049735152";"0.572435206798367"
"9";"CX3CL1";"TRUE";"Welch's t test";"0.230367756509228";"-1.26546216792768"
"10";"CX3CR1";"TRUE";"Welch's t test";"0.791340463488261";"0.27167527044883"
"11";"GABAa1";"FALSE";"Wilcoxon test";"0.110210182673421";"2"
"12";"GABAa5";"TRUE";"Welch's t test";"0.0549043171430765";"3.25582360294286"
"13";"GAT1";"TRUE";"Welch's t test";"0.470036268176616";"-0.747396444995721"
"14";"GAT3";"FALSE";"Wilcoxon test";"0.935736280642756";"17"
"15";"GLAST";"FALSE";"Wilcoxon test";"0.451913458279073";"35"
"16";"GLT1";"TRUE";"Welch's t test";"0.54148646928808";"0.628355136616739"
"17";"GLUA1";"TRUE";"Welch's t test";"0.52889862572949";"0.647525957585735"
"18";"GLUA2";"TRUE";"Welch's t test";"0.963666106734131";"0.0462721357734045"
"19";"IFN_gamma";"TRUE";"Welch's t test";"0.650025840428679";"0.468416381436892"
"20";"IL_10";"TRUE";"Welch's t test";"0.208424986237077";"1.33018727052281"
"21";"IL_15";"TRUE";"Welch's t test";"0.426131745672671";"0.823789874615904"
"22";"IL_17";"TRUE";"Welch's t test";"0.986560783688682";"-0.0172571504244629"
"23";"IL_4";"TRUE";"Welch's t test";"0.195849376784264";"1.37548530750976"
"24";"IL_6";"TRUE";"Welch's t test";"0.994325790649751";"-0.00726123543439603"
"25";"IL1_b";"FALSE";"Wilcoxon test";"0.112351197690464";"14"
"26";"Learning_index_Rmaze";"TRUE";"Welch's t test";"0.0631371578445867";"2.01226467912153"
"27";"NR1";"FALSE";"Wilcoxon test";"0.0264057640785115";"15"
"28";"NR2A";"TRUE";"Welch's t test";"0.129316012188741";"1.6298749331321"
"29";"NR2B";"TRUE";"Welch's t test";"0.952299513434839";"0.0609565420474806"
"30";"Occludine";"TRUE";"Welch's t test";"0.416693285706498";"-0.841360088564874"
"31";"OLM";"TRUE";"Welch's t test";"0.351121000770078";"-0.957984683600853"
"32";"SCFA_AA";"FALSE";"Wilcoxon test";"0.298628337952887";"86.5"
"33";"SCFA_BA";"TRUE";"Welch's t test";"0.214740815636381";"-1.27087825072804"
"34";"SCFA_CA";"TRUE";"Welch's t test";"0.0157357098190213";"-2.5871835285764"
"35";"SCFA_PA";"FALSE";"Wilcoxon test";"0.851558761951436";"107"
"36";"SCFA_VA";"TRUE";"Welch's t test";"0.908073488238777";"0.116701512622075"
"37";"Stereotipic_Counts";"TRUE";"Welch's t test";"0.0386904865725218";"2.46038967165522"
"38";"TGF_b";"FALSE";"Wilcoxon test";"0.0736382701203026";"39"
"39";"TNF_a";"TRUE";"Welch's t test";"0.343377630595043";"0.994623679483583"
"40";"TNFR1";"FALSE";"Wilcoxon test";"0.042658103683907";"10"
"41";"Vertcal_Counts";"TRUE";"Welch's t test";"0.0224676791988208";"2.90001760721337"
"42";"Ymaze_trialstolearn";"TRUE";"Welch's t test";"0.169066900852158";"-1.48233242460669"
"43";"comparisons_antibiotic";"";"";"";""
