"";"CC34_36_S5";"CC35_S16";"CC37_1_S6";"CC37_2_S31";"CC38_S32";"CC39_S33";"CC41_S34";"CC42_1_S17";"CC42_2_S35";"CC45_S15";"CCR43_S36";"CCR44_S37";"CCR45_S38";"CCR47_S39";"CCR48_S40";"CCR50_S20";"CCR51_S19";"CCR55_S7";"CCR56_S8";"CCR62_S18";"CR18_S13";"CR19_S14";"CR23_S3";"CR24_S4";"CR29_S12";"CR31_S26";"CR32_S27";"CR33_S28";"CR35_S29";"CR36_S30";"CV1_S1";"CV13_S10";"CV14_S11";"CV16_S2";"CV25_S21";"CV26_S22";"CV27_S23";"CV29_S24";"CV30_S25";"CV5_S9"
"ASV1";"681";"14560";"5163";"240";"6791";"10032";"2412";"6279";"903";"8840";"95";"199";"842";"1668";"433";"9239";"10050";"4155";"779";"4934";"1495";"2453";"10936";"298";"5";"7608";"4834";"321";"147";"12";"10510";"52";"1653";"15802";"6049";"3148";"7240";"7263";"2851";"19291"
"ASV2";"310";"2211";"1451";"3548";"4766";"1472";"639";"3036";"6105";"1914";"10406";"10697";"2471";"602";"399";"3133";"8956";"8";"0";"10719";"1484";"5705";"0";"0";"231";"911";"13889";"11415";"6536";"3239";"1541";"13472";"2639";"705";"12574";"15677";"236";"6878";"7016";"114"
"ASV3";"930";"11";"7976";"1542";"247";"3989";"13146";"5285";"2051";"1756";"0";"0";"0";"0";"0";"142";"5253";"10732";"604";"2771";"2737";"4608";"5350";"621";"1381";"15";"16";"0";"7507";"3422";"9";"1441";"1953";"0";"7227";"9555";"4257";"8447";"22337";"13"
"ASV4";"90";"709";"507";"1194";"1663";"506";"226";"1062";"2075";"650";"3560";"3592";"836";"211";"164";"1048";"3016";"0";"0";"3672";"495";"1973";"0";"0";"84";"303";"4536";"4055";"2283";"1052";"541";"4455";"897";"233";"4296";"5284";"72";"2215";"2359";"41"
"ASV5";"0";"2136";"0";"39";"42";"11";"2858";"0";"646";"2679";"4403";"3165";"1145";"1386";"774";"742";"1555";"0";"0";"2528";"741";"1512";"0";"0";"0";"1073";"1635";"1778";"2878";"1906";"599";"4238";"5005";"0";"2908";"2243";"170";"0";"3733";"14"
"ASV6";"65";"0";"329";"1425";"2289";"1846";"1084";"0";"1057";"0";"2402";"24";"10";"727";"1592";"4801";"6373";"412";"89";"10";"5056";"1279";"2746";"242";"280";"40";"10";"15";"219";"28";"1860";"0";"0";"0";"910";"1223";"5191";"0";"3919";"15"
"ASV7";"272";"0";"941";"3351";"1671";"2180";"1908";"929";"469";"86";"4304";"1609";"813";"2434";"2922";"460";"753";"11";"0";"127";"0";"698";"717";"350";"1045";"162";"1245";"1585";"1163";"964";"1686";"0";"145";"12";"640";"2568";"596";"1927";"1188";"0"
"ASV8";"107";"664";"0";"1458";"1173";"514";"2085";"304";"550";"1893";"1085";"1023";"551";"1782";"1328";"1170";"1827";"877";"995";"626";"540";"408";"1348";"304";"228";"1000";"872";"2603";"1880";"2107";"614";"1215";"1091";"178";"610";"1070";"727";"1523";"1709";"71"
"ASV9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3658";"5125";"1350";"3041";"0";"0";"4471";"0";"1247";"0";"0";"0";"0";"0";"0";"2732";"5221";"0";"0";"0";"171";"0";"0";"0";"0";"0";"5"
"ASV10";"103";"48";"315";"4924";"6780";"2353";"1931";"11";"214";"460";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"754";"581";"0";"212";"3767";"11";"77";"4168";"0"
"ASV11";"1442";"226";"643";"2826";"998";"1101";"2757";"532";"362";"208";"1501";"966";"552";"645";"1933";"541";"349";"192";"510";"441";"29";"35";"40";"22";"0";"344";"887";"476";"1479";"1383";"777";"30";"16";"73";"601";"604";"204";"333";"574";"24"
"ASV12";"1102";"369";"377";"194";"505";"1095";"58";"154";"221";"578";"133";"75";"240";"100";"971";"532";"84";"609";"366";"334";"301";"322";"1388";"989";"794";"550";"941";"450";"206";"306";"385";"2300";"2310";"674";"1359";"252";"987";"378";"396";"1539"
"ASV13";"92";"0";"2429";"0";"0";"0";"22";"1183";"0";"0";"19";"0";"0";"100";"69";"89";"0";"572";"1336";"1005";"0";"293";"3747";"5078";"6293";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"ASV14";"1017";"402";"262";"192";"407";"889";"69";"152";"201";"716";"92";"60";"204";"69";"629";"264";"82";"518";"340";"254";"298";"335";"1345";"1258";"846";"388";"868";"376";"225";"349";"237";"1394";"1351";"436";"1553";"246";"988";"302";"326";"1441"
"ASV15";"240";"1176";"167";"0";"45";"386";"15";"289";"74";"1976";"0";"0";"0";"0";"54";"751";"1428";"0";"648";"174";"429";"424";"0";"0";"565";"4397";"180";"132";"1163";"456";"548";"414";"1508";"803";"94";"108";"766";"266";"490";"210"
"ASV16";"597";"0";"501";"6121";"10";"0";"1887";"14";"3067";"232";"26";"87";"86";"58";"25";"0";"18";"131";"730";"31";"157";"50";"7";"0";"51";"12";"40";"269";"36";"21";"684";"140";"321";"132";"2370";"603";"18";"717";"764";"0"
"ASV17";"0";"593";"0";"0";"0";"3";"264";"29";"51";"157";"1271";"548";"1173";"1275";"3242";"785";"0";"1200";"337";"397";"259";"163";"0";"0";"190";"1394";"583";"1361";"625";"489";"2359";"0";"0";"1011";"0";"0";"0";"0";"0";"0"
"ASV18";"473";"595";"66";"537";"1483";"1353";"94";"618";"488";"1527";"140";"74";"289";"159";"3349";"176";"19";"497";"127";"227";"37";"312";"134";"208";"305";"89";"37";"43";"342";"175";"994";"52";"297";"2006";"371";"162";"925";"114";"119";"298"
"ASV19";"366";"0";"637";"337";"455";"448";"88";"0";"56";"75";"124";"247";"187";"307";"661";"739";"1400";"21";"1002";"1088";"891";"296";"869";"16";"98";"1622";"707";"671";"854";"814";"72";"342";"116";"57";"288";"234";"1458";"429";"506";"478"
"ASV20";"0";"5860";"0";"11";"4581";"12";"2381";"0";"376";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32";"0";"1478";"723";"0";"375";"1425";"0"
"ASV21";"0";"12";"0";"224";"0";"405";"1640";"0";"401";"28";"1629";"2332";"1050";"1093";"1108";"323";"10";"0";"0";"0";"0";"0";"0";"0";"0";"836";"1250";"1311";"124";"270";"63";"0";"0";"0";"733";"91";"133";"903";"1138";"0"
"ASV22";"753";"1760";"302";"0";"0";"0";"0";"1300";"0";"0";"0";"0";"0";"0";"0";"0";"950";"0";"0";"0";"0";"837";"0";"0";"0";"3594";"792";"181";"0";"7";"18";"0";"982";"848";"0";"0";"0";"0";"0";"4040"
"ASV23";"806";"0";"972";"1545";"2850";"430";"0";"0";"90";"0";"0";"159";"0";"81";"650";"0";"0";"917";"1007";"0";"0";"50";"2126";"2202";"260";"0";"0";"0";"87";"523";"43";"0";"0";"224";"0";"379";"139";"402";"0";"0"
"ASV24";"0";"0";"0";"1829";"2278";"451";"1327";"2557";"987";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"917";"101";"14";"116";"1069";"937";"861";"595";"1301"
"ASV25";"29";"0";"0";"1679";"2171";"511";"1277";"2639";"1012";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"862";"115";"0";"91";"1021";"968";"783";"479";"1294"
"ASV26";"0";"0";"0";"405";"424";"2442";"221";"0";"186";"0";"485";"544";"673";"625";"32";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"113";"946";"1547";"1797";"0";"0";"0";"0";"905";"244";"86";"1604";"1127";"0"
"ASV27";"277";"0";"0";"0";"0";"0";"0";"931";"0";"826";"0";"0";"0";"0";"0";"0";"0";"0";"0";"468";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"211";"10335";"0";"0";"0";"0";"0";"0";"1368"
"ASV28";"451";"0";"66";"0";"112";"0";"0";"8";"0";"17";"681";"462";"1055";"1331";"1243";"1111";"660";"915";"111";"65";"0";"0";"824";"199";"15";"1232";"820";"1033";"215";"270";"643";"0";"0";"160";"294";"0";"11";"31";"41";"0"
"ASV29";"0";"0";"0";"657";"814";"295";"996";"0";"342";"432";"1127";"1426";"25";"508";"1168";"0";"177";"0";"0";"0";"109";"0";"0";"0";"0";"131";"224";"845";"461";"555";"96";"290";"68";"0";"1668";"433";"211";"140";"321";"0"
"ASV30";"0";"0";"0";"309";"557";"254";"746";"0";"495";"109";"753";"648";"272";"211";"652";"40";"329";"0";"407";"784";"140";"301";"0";"0";"81";"356";"259";"650";"441";"238";"1491";"0";"40";"121";"220";"859";"140";"888";"470";"0"
"ASV31";"346";"4374";"245";"0";"0";"0";"1458";"105";"240";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"0";"0";"0";"0";"0";"0";"53";"3402";"0";"2307";"0"
"ASV32";"63";"460";"0";"0";"0";"0";"0";"635";"23";"99";"0";"0";"0";"0";"0";"43";"8";"0";"91";"2762";"0";"1790";"5184";"403";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"34";"194";"55";"52";"0"
"ASV33";"0";"392";"0";"0";"0";"0";"0";"4413";"0";"97";"0";"0";"0";"0";"0";"0";"1003";"8";"498";"0";"3102";"808";"0";"0";"223";"0";"0";"0";"0";"0";"18";"0";"0";"861";"9";"0";"64";"0";"0";"425"
"ASV34";"10";"16";"0";"624";"599";"1043";"0";"0";"0";"10";"49";"24";"33";"52";"90";"2871";"1175";"1213";"612";"463";"394";"169";"0";"0";"93";"461";"159";"255";"28";"255";"77";"10";"0";"13";"15";"12";"27";"294";"45";"13"
"ASV35";"444";"220";"20";"1174";"1748";"1087";"0";"37";"0";"368";"0";"0";"0";"0";"0";"312";"314";"0";"26";"249";"0";"202";"145";"14";"153";"0";"0";"0";"857";"840";"78";"427";"449";"0";"0";"0";"0";"1065";"928";"5"
"ASV36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"304";"891";"1208";"1130";"1224";"34";"198";"0";"20";"645";"376";"0";"0";"2515";"169";"240";"240";"245";"91";"29";"189";"334";"838";"158";"0";"0";"0";"0";"0";"0"
"ASV37";"723";"1556";"28";"215";"324";"53";"0";"400";"23";"250";"553";"541";"512";"348";"361";"165";"1184";"528";"84";"195";"535";"242";"0";"0";"117";"7";"5";"267";"0";"0";"0";"54";"217";"105";"24";"119";"0";"394";"0";"169"
"ASV38";"124";"115";"240";"0";"38";"0";"774";"0";"311";"0";"927";"1297";"53";"154";"1495";"67";"241";"14";"115";"859";"12";"119";"0";"0";"0";"65";"256";"99";"778";"890";"50";"0";"16";"62";"9";"10";"0";"118";"776";"0"
"ASV39";"107";"0";"112";"0";"0";"0";"0";"627";"0";"1226";"148";"203";"0";"57";"0";"757";"1050";"0";"0";"383";"581";"0";"69";"25";"241";"0";"0";"0";"0";"0";"0";"0";"2337";"2150";"0";"0";"0";"0";"0";"0"
"ASV40";"324";"0";"74";"0";"0";"0";"0";"6";"0";"0";"0";"0";"11";"57";"9";"0";"0";"0";"0";"0";"0";"0";"37";"774";"583";"2437";"2233";"0";"1301";"1243";"772";"0";"0";"0";"0";"0";"56";"0";"16";"0"
"ASV41";"545";"887";"112";"717";"403";"1117";"73";"196";"0";"1133";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"712";"0";"0";"0";"0";"0";"0";"131";"659";"129";"192";"148";"0";"337";"256";"1078";"421";"328";"147"
