"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV1";"Bacteria";"Verrucomicrobia";"Verrucomicrobiae";"Verrucomicrobiales";"Akkermansiaceae";"Akkermansia";"muciniphila"
"ASV2";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV3";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Kineothrix";NA
"ASV4";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV5";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV6";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus";NA
"ASV7";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Kineothrix";NA
"ASV8";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Intestinimonas";NA
"ASV9";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";NA;NA
"ASV10";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";NA;NA
"ASV11";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Lawsonibacter";NA
"ASV12";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Romboutsia";NA
"ASV13";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV14";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Peptostreptococcaceae";"Romboutsia";NA
"ASV15";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV16";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Kineothrix";NA
"ASV17";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus";NA
"ASV18";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae_1";"Clostridium_sensu_stricto";NA
"ASV19";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";NA;NA
"ASV20";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV21";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV22";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV23";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV24";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Roseburia";NA
"ASV25";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Roseburia";NA
"ASV26";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Intestinimonas";NA
"ASV27";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus";"bromii"
"ASV28";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Harryflintia";NA
"ASV29";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Intestinimonas";NA
"ASV30";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV31";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV32";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV33";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV34";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Ruminococcus";NA
"ASV35";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Intestinimonas";NA
"ASV36";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";NA;NA;NA
"ASV37";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
"ASV38";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";NA;NA
